N dim alpha_a alpha_g N_samples short_mean short_err short_std diameter_mean diameter_err diameter_std ass_coeff_mean ass_coeff_err ass_coeff_std
5000 1 8.0 3.0 51 15.26458235294118 0.14180717423445072 1.0127057854492356 36.254901960784316 0.5101657840925307 3.6433124337882523 0.04047569607843137 0.0015677049972165462 0.011195653034690932
5000 1 4.0 4.0 51 14.834792156862745 0.1750890905066788 1.2503862084721082 35.68627450980392 0.5618528144982047 4.012431662114292 0.01593378662745098 0.0016762279499260404 0.011970661934319926
5000 1 1.0 9.0 51 11.606915098039213 0.15081083350755972 1.0770047737431296 28.274509803921568 0.2938299246263403 2.0983653768831494 -0.09585069019607842 0.003681322495273393 0.02628990112237971
5000 1 2.0 14.0 29720 14.733575962314939 0.009513244934106047 1.6400348664340856 34.69882234185734 0.02332229974035024 4.02064542693237 -0.0398716027732537 9.432746875087018e-05 0.01626157411960253
5000 1 0.0 2.0 20986 8.58800415848661 0.0035484853589542054 0.5140529454444955 22.6017821404746 0.012391989585500673 1.7951712074194703 -0.07574810345944917 0.00010952088328821286 0.015865792569757425
5000 1 9.0 3.0 51 15.205576470588234 0.14176933061368674 1.0124355279400727 35.98039215686274 0.4797795213232039 3.426311113010209 0.04554078235294117 0.0016291683913584915 0.011634589464930956
5000 1 36.0 2.0 101 15.3985900990099 0.09146229164567826 0.9191846550617508 36.99009900990099 0.38033207207713265 3.822290019098369 0.06320350495049505 0.001038550218317382 0.010437300520377635
5000 1 16.0 2.0 101 15.296982178217824 0.12617175410311735 1.2680104356349786 36.98019801980198 0.4624472564027343 4.647537408176081 0.054818025742574265 0.0009596709366583114 0.009644573550620613
5000 1 6.0 8.0 51 16.347966666666665 0.22041411080174264 1.5740715969315586 38.490196078431374 0.6534208919036512 4.666358533244559 0.03467349803921569 0.0017064861037345538 0.012186748374123266
5000 1 5.0 0.0 51 7.995199999999999e-08 1.871696065287322e-24 1.3366583490234675e-23 1.0 0.0 0.0 1.0 0.0 0.0
5000 1 8.0 7.0 51 16.13349607843137 0.17426250516268493 1.2444832083978934 38.333333333333336 0.750773022103854 5.361591803435493 0.043057511764705875 0.0012140882244992823 0.00867032416119829
5000 1 6.0 6.0 51 15.753570588235293 0.26690989351691097 1.9061179014210132 37.450980392156865 0.9024210249472363 6.4445751620729705 0.03240528862745098 0.0016795378723710134 0.011994299508564728
5000 1 0.0 3.0 51 8.542140784313727 0.07143820919183737 0.5101708580067785 22.470588235294116 0.25568507157181236 1.8259566388769541 -0.07361622941176471 0.0021576228220042716 0.015408508959134157
5000 1 4.0 7.0 51 15.014117647058821 0.1931890750109217 1.3796459523668934 35.11764705882353 0.6228631290328964 4.44813245676668 0.018169547549019605 0.0015991565629574996 0.011420262140395562
5000 1 1.0 4.0 51 10.82114431372549 0.08921737753100674 0.6371395162199717 26.254901960784313 0.26545283138463444 1.8957123964874203 -0.10033347058823527 0.002390060047589738 0.01706844276978183
5000 1 7.0 8.0 51 16.368776470588234 0.2393651529766093 1.7094091082696659 38.411764705882355 0.7457994634464732 5.326073490248648 0.038039623333333335 0.0016306809692621842 0.011645391431772772
5000 1 1.0 2.0 1153 10.57839406764961 0.023487452868842896 0.7975365132285996 26.227233304423244 0.07007530251487114 2.379466719666607 -0.09705093382480484 0.0006380596888299596 0.021665861441119344
5000 1 11.0 2.0 29787 15.08995005875046 0.006331502475172325 1.09274836081692 36.230368952898914 0.024642246411065716 4.252983312907225 0.04964431914929331 6.403682952662363e-05 0.011052059250000681
5000 1 2.0 0.1 51 18.54682156862745 0.3448710466623575 2.462871896815888 47.86274509803921 0.8650148396519834 6.17744156700211 -0.09170036078431373 0.0027807140703699756 0.019858270513789248
5000 1 7.0 4.0 51 15.313721568627452 0.1783032501724756 1.2733398996833052 36.470588235294116 0.5976115475014148 4.267800094552089 0.03970428098039216 0.001663537852610402 0.011880036512589051
5000 1 4.0 8.0 51 15.499927450980392 0.23582860710699818 1.6841531190575794 36.64705882352941 0.7000411917357966 4.999294067813034 0.014197658235294118 0.0017278434770420048 0.012339270527020099
5000 1 6.0 2.0 21086 14.57169463150906 0.007291133109350801 1.0587468422041562 35.06089348382813 0.027865718310675275 4.046386319479071 0.03378929711601063 8.020349733008279e-05 0.011646365284848768
5000 1 9.0 7.0 51 16.22491960784314 0.21209627013239848 1.5146703331114144 37.78431372549019 0.6015103379485486 4.2956430274881825 0.0447934162745098 0.0016984913910971504 0.012129654706016483
5000 1 4.0 9.0 51 15.398996078431372 0.2178632121842094 1.5558545370259762 36.68627450980392 0.6425990095855567 4.589074835207774 0.017686329764705883 0.0014324153197964016 0.010229491486274321
5000 1 2.0 3.0 19984 12.864104599679743 0.00655243484283707 0.9262834862797626 30.93349679743795 0.020484717151234445 2.895817459221716 -0.034247570790017015 0.0001091121202852174 0.015424610484094074
5000 1 1.0 8.0 51 11.5825362745098 0.1457193090204887 1.0406440160265387 28.176470588235293 0.3836929760689655 2.740115927131122 -0.10234938235294117 0.003140057886842098 0.022424498660364348
5000 1 8.0 5.0 51 15.902062745098036 0.23965808055678617 1.7115010296182454 38.0 0.70904520168972 5.063595560468865 0.039112752941176464 0.0016501183791102012 0.01178420230303864
5000 1 5.0 2.0 1153 14.351288811795317 0.03167051641765171 1.0753994218500122 34.56201214223764 0.12102121541015308 4.109378684179803 0.026675570629488294 0.0003573883854037588 0.012135427726240062
5000 1 1.5 2.0 1001 11.867294105894105 0.026270908523056413 0.8311743470905637 29.062937062937063 0.08240294121155294 2.607112380591785 -0.06231378928071928 0.0005679243215691701 0.017968321375822282
5000 1 8.0 2.0 21087 14.85088883672405 0.007373575435501824 1.0707436972697613 35.69350784843743 0.02827964931659751 4.106590694245079 0.04267619042489686 7.77075328446147e-05 0.011284193367459795
5000 1 14.0 2.0 20034 15.240692432864131 0.0078364558448842 1.109183819546379 36.5926924228811 0.03069116743092543 4.34407428449874 0.05346358389737447 7.700224513787536e-05 0.010899014307779502
5000 1 9.0 9.0 51 16.92674705882353 0.2649891399380757 1.8924009772088934 40.09803921568628 0.8356070480750937 5.967427928214247 0.0464541568627451 0.0015391093008346498 0.010991438915615279
5000 1 8.0 0.0 51 7.995199999999999e-08 1.871696065287322e-24 1.3366583490234675e-23 1.0 0.0 0.0 1.0 0.0 0.0
5000 1 8.0 0.1 51 17.633560784313726 0.2266734138917068 1.618771961961095 44.92156862745098 0.6280022088476841 4.484832827452555 -0.0040218137235294125 0.0020786924520991815 0.014844833371618541
5000 1 4.0 3.0 51 14.36246862745098 0.13939901210695035 0.9955080679713643 33.78431372549019 0.4885462432124685 3.488918029935332 0.012645299166078433 0.0015932202579657052 0.01137786844316666
5000 1 3.0 1.0 51 13.613999999999999 0.21420676426953356 1.5297422759406238 33.1764705882353 0.6024172759760992 4.302119860501058 -0.001993478509803922 0.002126787510085954 0.015188300785997698
5000 1 8.0 4.0 51 15.825129411764706 0.13611551026844856 0.9720591745967149 36.96078431372549 0.4436575117103728 3.168348366665039 0.04081425098039215 0.001187628948145636 0.008481367132847688
5000 1 7.0 9.0 51 16.62323137254902 0.26748823325397864 1.910248073260664 39.31372549019608 0.8075575356560349 5.767114342818014 0.03907602549019608 0.0016452029988241407 0.011749099466526669
5000 1 9.0 0.1 51 17.108600000000003 0.2283095452386055 1.6304562768746673 43.666666666666664 0.7799782132033531 5.570158585414482 0.0034062124333333332 0.0021003537329599012 0.014999525858555936
5000 1 21.0 2.0 101 15.315431683168317 0.10415049335077244 1.0466995040536413 36.801980198019805 0.4078486911191012 4.098828617983919 0.05832180594059406 0.0010813727952810282 0.010867662092638156
5000 1 8.0 1.0 51 14.546660784313724 0.15219808125554685 1.086911704248037 36.19607843137255 0.6756374522891652 4.825016509166108 0.044856464705882344 0.0016365082954920521 0.011687006864973145
5000 1 4.0 2.0 21086 14.018263212558095 0.0069795615516503205 1.0135034763392603 33.73494261595371 0.025255539347493423 3.667361729828894 0.01585484596754292 8.773062142222078e-05 0.012739380423086933
5000 1 8.0 8.0 51 16.575245098039215 0.28340980771374685 2.0239508577348144 39.745098039215684 0.9753202137839703 6.965179501649335 0.04363923529411764 0.001597983973295233 0.011411888175246436
5000 1 9.0 4.0 51 15.668958823529412 0.20949291487249924 1.4960786578487735 37.254901960784316 0.6409815617885308 4.57752394752841 0.045503876470588234 0.0012647453328885768 0.009032088275157373
5000 1 0.0 5.0 51 8.544800784313725 0.08141622820786736 0.5814281666683963 22.647058823529413 0.21661120752378787 1.5469134353513736 -0.0740472882352941 0.0023482542453735454 0.016769889625357075
5000 1 4.0 0.1 51 17.47492156862745 0.24272062832446953 1.7333719953101496 44.76470588235294 0.7225164278173711 5.159799357704203 -0.04162341941176471 0.002357460786575856 0.01683563748042781
5000 1 5.0 0.1 51 17.265129411764704 0.24568387387995114 1.7545338013608194 44.411764705882355 0.8074051734952229 5.766026259351357 -0.028440460019607847 0.0016438162744729394 0.011739196273822446
5000 1 9.0 5.0 51 15.895711764705885 0.20814686937017426 1.4864659702323575 38.11764705882353 0.7333228477807561 5.236972632441493 0.045490323529411764 0.0015188933530430433 0.010847068171346362
5000 1 7.0 0.0 51 7.995199999999999e-08 1.871696065287322e-24 1.3366583490234675e-23 1.0 0.0 0.0 1.0 0.0 0.0
5000 1 0.0 0.1 51 8.68432980392157 0.07233306798441805 0.5165614280276457 23.176470588235293 0.29731594385921356 2.123260533735238 -0.07767206862745098 0.0023381494862734307 0.01669772721145594
5000 1 6.5 2.0 1001 14.708235964035962 0.033905697961420046 1.072728274357162 35.47952047952048 0.1325528570417109 4.1937847071386685 0.036124448939060944 0.0003726858733248006 0.011791253323376832
5000 1 4.0 6.0 51 15.144639215686274 0.18034242805695472 1.28790254259838 35.3921568627451 0.4810759439232095 3.4355694222212945 0.012873154764705883 0.0016907910420877806 0.012074663214691268
5000 1 8.0 6.0 51 15.83017450980392 0.18902450271385632 1.3499049573719086 37.35294117647059 0.6304828709164358 4.502548298071948 0.04103554117647059 0.0015548835941555023 0.011104089902376988
5000 1 15.0 2.0 20035 15.268678278013477 0.007853079435627224 1.1115644886497604 36.66468679810332 0.030896637313016586 4.373265944571128 0.05427951239830297 7.673027301289374e-05 0.010860790010424948
5000 1 7.5 2.0 1001 14.801873526473527 0.032958896183440674 1.0427728067361803 35.574425574425575 0.12706911007782073 4.0202867179724 0.04083679373626374 0.00035675812410432175 0.0112873218911108
5000 1 10.0 2.0 20035 15.048763548789617 0.007763005850915516 1.0988150189733565 36.175742450711255 0.030256560750019947 4.282666278124837 0.047722582995258306 7.858854050733817e-05 0.011123818568096938
5000 1 2.0 4.0 19985 13.1302802651989 0.007052459174349209 0.9969942579629828 31.425369026770078 0.021269185683378804 3.006788904926052 -0.03513482103399755 0.00010793027488355268 0.015257920912274982
5000 1 2.0 11.0 29702 14.388373853612551 0.008590994927419982 1.480595105869081 33.98431082082015 0.021730103818250794 3.745024369720049 -0.0389434800848697 9.282389404982139e-05 0.01599751884373997
5000 1 1.0 1.0 51 11.684530588235294 0.22432966961016287 1.6020342799196423 29.45098039215686 0.5909870278196757 4.220491561371476 -0.10600853725490196 0.00349679890061592 0.024972139077755917
5000 1 9.0 1.0 51 14.775023529411763 0.20361907837706025 1.4541310749156329 36.529411764705884 0.7982102240055784 5.700361185666995 0.046254605882352945 0.0014964005051768142 0.010686437108155583
5000 1 9.0 2.0 21087 14.956221079337979 0.007608428402299325 1.1048475504388466 35.92521458718642 0.029333280848033133 4.2595923596376295 0.04565356323042633 7.67822623274108e-05 0.011149831471628973
5000 1 3.0 8.0 51 14.906782352941176 0.16007025721461193 1.143130285436596 35.05882352941177 0.42046824011545764 3.0027438432599105 -0.0005547006862745102 0.0020297446144984677 0.014495275892661105
5000 1 2.0 6.0 19985 13.579033820365273 0.008155081088050268 1.1528700580899014 32.33355016262197 0.022694037929210962 3.2082178635944176 -0.036533324277668255 0.0001085165374758097 0.015340799866082281
5000 1 8.0 9.0 51 16.375543137254905 0.20472538435200863 1.462031679855796 38.15686274509804 0.6008964212199857 4.291258785110065 0.0418735568627451 0.0015757065462042794 0.01125279552410431
5000 1 2.0 7.0 19614 13.765001488732539 0.008783050402976944 1.2300661305448228 32.70724992352401 0.023831412221975577 3.337589068983172 -0.037094643951835427 0.00011134544462371337 0.015593928525750199
5000 1 0.0 0.0 51 8.539908431372549 0.06800014523247036 0.4856181703082064 22.45098039215686 0.27484573283035657 1.9627911298984013 -0.07502458235294118 0.0018792315969778834 0.013420397950473837
5000 1 32.0 2.0 101 15.525576237623765 0.10709596935356269 1.0763011715266797 37.118811881188115 0.37740309324994675 3.7928541461882537 0.06028837227722771 0.001167861791010908 0.011736865742319105
5000 1 18.0 2.0 101 15.56367425742574 0.13231476466301348 1.329746927701167 37.57425742574257 0.515952744526904 5.1852609088713475 0.05600471386138613 0.0011681935003345213 0.011740199379763784
5000 1 2.0 13.0 29799 14.617680294640758 0.009233629544888615 1.5939448529789786 34.44253162857814 0.022821947511367072 3.9396128677088664 -0.03952766282394375 9.418387819108786e-05 0.016258385410251423
5000 1 9.0 0.0 51 7.995199999999999e-08 1.871696065287322e-24 1.3366583490234675e-23 1.0 0.0 0.0 1.0 0.0 0.0
5000 1 1.0 5.0 51 11.146902156862744 0.12688410627374633 0.9061337636735842 27.54901960784314 0.3545930840927785 2.532301131304854 -0.09768602549019606 0.003072491388665918 0.021941977349471887
5000 1 3.0 6.0 51 14.661186274509802 0.17956215383635235 1.2823302700973114 34.23529411764706 0.5303260079804539 3.787285229787256 -0.0025688346509803923 0.0016429823174032004 0.011733240629096428
5000 1 7.0 3.0 51 14.925627450980391 0.16146623693888262 1.153099574725172 36.07843137254902 0.5669617252046049 4.048916582271865 0.039403856862745106 0.001512851688565061 0.010803922056887582
5000 1 4.0 5.0 51 15.03445098039216 0.1621446684079314 1.1579445445050551 35.76470588235294 0.525870509144165 3.7554666037344426 0.01698234537254902 0.0017398991719948854 0.012425365409682441
5000 1 6.0 0.1 51 17.309874509803922 0.20860668447250877 1.4897497068760426 44.529411764705884 0.6821838871042638 4.871767404860256 -0.01921050180392157 0.002145010041894311 0.015318435692693923
5000 1 2.0 2.0 21087 12.645379527671075 0.006220610611771204 0.9033174833546819 30.708872765210792 0.020446810929202162 2.969155753977811 -0.033482283861767916 0.0001102899019754658 0.016015597649431626
5000 1 2.0 12.0 29524 14.507817887142663 0.008959913238407924 1.539541508261399 34.21311475409836 0.022437062788610632 3.8552593722069557 -0.039206238798777944 9.388446930981631e-05 0.016131745211992544
5000 1 6.0 0.0 51 7.995199999999999e-08 1.871696065287322e-24 1.3366583490234675e-23 1.0 0.0 0.0 1.0 0.0 0.0
5000 1 5.5 2.0 1001 14.422322777222778 0.03223821087189019 1.0199713439409361 34.64135864135864 0.12454210940574485 3.940335994842033 0.030717371951048948 0.0003639390026960402 0.01151451472190955
5000 1 3.0 0.1 51 17.47707254901961 0.3344479867070212 2.3884363601384426 44.490196078431374 0.9188110599774837 6.561623424182792 -0.05876783333333333 0.0023601533073679217 0.01685486592495671
5000 1 1.0 3.0 51 10.84102705882353 0.13036797445580467 0.9310135589502316 26.176470588235293 0.3539202107409723 2.5274958544214563 -0.09978636274509804 0.003020520760050778 0.021570832824830483
5000 1 4.0 0.0 51 7.995199999999999e-08 1.871696065287322e-24 1.3366583490234675e-23 1.0 0.0 0.0 1.0 0.0 0.0
5000 1 0.0 6.0 51 8.661400392156864 0.07829880312107587 0.5591652985297308 22.862745098039216 0.2715527000355147 1.9392741718811937 -0.0765780705882353 0.002361217228427303 0.0168624638410559
5000 1 2.0 5.0 19985 13.369155631723794 0.007593093883569469 1.0734228749067773 31.89737302977233 0.021939166992820256 3.101503032571787 -0.03605154030890067 0.00010855370935843659 0.015346054792430735
5000 1 0.0 9.0 51 8.581537058823528 0.06704679519605902 0.4788098892558261 22.764705882352942 0.24984424213641535 1.78424477350074 -0.07380378235294119 0.0020936819989199923 0.014951880147415655
5000 1 28.0 2.0 101 15.388040594059408 0.10011801449337418 1.006173593091989 36.89108910891089 0.4393742152308268 4.415656214197409 0.05954509306930692 0.0010409409004236347 0.010461326578195113
5000 1 1.0 6.0 51 11.36453156862745 0.15883089444730572 1.134279464936878 28.0 0.3788527573671675 2.705549851693737 -0.09798359803921569 0.002918263753685474 0.020840571732555616
5000 1 6.0 7.0 51 16.355523529411762 0.22243517611484265 1.588504890214473 38.470588235294116 0.632674336929353 4.51819849575678 0.032474492156862746 0.0013603355777991768 0.009714739167653306
5000 1 24.0 2.0 101 15.446379207920794 0.09500026747556753 0.9547408721026699 36.95049504950495 0.35748744702014734 3.5927043786645245 0.05795885148514851 0.000984020529781223 0.009889283932930775
5000 1 5.0 1.0 51 14.166305882352939 0.1787266694915542 1.2763637184457672 34.294117647058826 0.5665818513092236 4.046203740036128 0.027012425882352944 0.0018836835397913932 0.013452191181444483
5000 1 5.0 7.0 51 16.28238431372549 0.2636867143421697 1.8830997980322286 38.86274509803921 0.8895998694469934 6.353013797696767 0.02271584333333334 0.001564707921879193 0.011174249635674274
