alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
0.0 2 1 0.01738831951252613 0.0009568792305912964 -0.2235622400965007 0.008381936391533175 0.01693506211918649 0.09207478089115574 -0.21793823849613395 0.806542846433279 0.014819787372611934 0.12186044618158713 -0.19170125393582235 1.0674406999642674
1.0 2 1 0.015624295571153423 0.001169369054662684 -0.22690820931197933 0.011382656854787633 0.015090790492435025 0.06309434066027318 -0.22008652910536497 0.6141598286163121 0.013088373104364162 0.07667835659530745 -0.19510074035257122 0.7463703908289048
3.0 2 1 0.005651072878581165 0.0005683886797161604 -0.04933796047511993 0.005163676464705347 0.005468269737297842 0.03475265033426659 -0.04727547500243819 0.315719391055002 0.004589396874245037 0.04861467530099368 -0.03725911781140546 0.44164922573648696
4.0 2 1 0.004623870612886748 0.0004885798576727084 -0.023140472229859616 0.004484691023582271 0.0044828724268930744 0.02804599516272143 -0.021553816668760203 0.25743499852744256 0.003729369939633988 0.040466708601052746 -0.013019612245750874 0.371442498304804
5.0 2 1 0.003161503755236703 0.000510581004753347 0.002723929457753764 0.005318643894209917 0.003095193568385611 0.014127320452052101 0.0034918596320965265 0.1471620935976467 0.0026885350040542315 0.021663000655725143 0.00823819831683788 0.2256593342310869
6.0 2 1 0.0038830948636364992 0.000472087689301715 0.0011350587384911382 0.004362623665464142 0.003788962267919596 0.022316399132590856 0.002210970344147856 0.20622866115170624 0.0032313426335984774 0.03344577169499868 0.00863282545939211 0.30907482637990785
7.0 2 1 0.0039024620943328638 0.00044723474138504485 0.006067294039756475 0.004089970446378285 0.003806047516916964 0.024463418994344586 0.007144683255692104 0.22371837184924082 0.0032258995191237457 0.03678554899832863 0.013666644300888835 0.33640286296948096
8.0 2 1 0.0038038555812751887 0.0004233525280493251 0.0105662706244458 0.003867218635774269 0.0037068844675971365 0.024611329742261094 0.011647169938071335 0.22481822145796837 0.003131884751906939 0.03702406879230462 0.018112547782451322 0.33820386276189623
9.0 2 1 0.003325353818477109 0.00047389577944155644 0.017728593585839326 0.0043761580113271465 0.0032466029706152777 0.02068192674594731 0.018631858467107888 0.19098576774797152 0.0027776065876895825 0.03125390929534968 0.02407038085366763 0.28861059138817985
10.0 2 1 0.003474559409363323 0.0003232868039892177 0.018207700662369677 0.0028660957283861443 0.003393322446154686 0.02956590787729818 0.01914043652536953 0.2621161858786703 0.0028944835123176273 0.0447736276930165 0.024909329762433208 0.39693876192183875
11.0 2 1 0.0031456255263624666 0.000457518551896082 0.023125987208955454 0.004052482794778298 0.00307134162061475 0.02996103035845549 0.0239913739853252 0.2653805764889453 0.002617120524834251 0.04548218505063029 0.029336599125999254 0.4028584631337931
12.0 2 1 0.0030801060344294666 0.0003167172501870009 0.024964499745372723 0.002883201925324579 0.003011688479955231 0.020724737143083993 0.02577637934993354 0.18866538811473585 0.0025838578256095245 0.03148815621601172 0.030879305833902453 0.28664761620720164
13.0 2 1 0.0032094643285395723 0.00047825361824599416 0.02530499288702832 0.004218464117595609 0.003134302071213185 0.032739377576908826 0.02616853417472165 0.28877955713768155 0.0026715895534413295 0.04981540668606129 0.031537248089103805 0.4393986323953035
14.0 2 1 0.0032082810473650107 0.00024864198567982354 0.026195721379846063 0.0022025288104432794 0.003133777017822744 0.029046470349623373 0.027057698603331064 0.25730037129137084 0.0026801025966437177 0.04421413766309782 0.032372798633678784 0.39165794729204356
15.0 2 1 0.0030792825914227988 0.00030437225478363355 0.028143104805870615 0.0027333426451715873 0.003009881718348334 0.023679265514113097 0.028957547708094077 0.21264595795161878 0.002585301785937268 0.03620198160327516 0.03401163267581171 0.32510196186468604
0.0 2 2 0.015881868814765655 0.0008781682702651022 -0.20808817697654025 0.008489415460249368 0.01546542814409892 0.05341395408190301 -0.20286323186656272 0.5163615784382588 0.013494483399432275 0.06950072976563033 -0.17842428612697014 0.6718592240020356
1.0 2 2 0.018161527283797108 0.0011737100209734343 -0.24482853742171232 0.011284787437766751 0.017606348935375434 0.07034637124126876 -0.2375280935465725 0.6763525421803879 0.015840089559081005 0.08468686631715008 -0.21382230861165524 0.8142132001437011
3.0 2 2 0.012551340373088209 0.0011209191762028099 -0.16991379236805706 0.01098810327679974 0.012103809716653785 0.04998540223300196 -0.16462467832346586 0.48999416223882053 0.010236788141137591 0.06667322519833178 -0.1422841359119096 0.653569586551827
4.0 2 2 0.008433169694423023 0.0009832109549814403 -0.1075931029093219 0.00980916674107797 0.008057696871581936 0.0410588233351966 -0.10321986105123428 0.40962958404548344 0.006270014657761905 0.056707466130983576 -0.08229303708409688 0.5657417368954453
