N dim alpha_a alpha_g N_samples per_short std_short per_ass std_ass per_dia std_dia
5000.0 1.0 0.0 2.0 20986.0 0.041319092229917115 0.5140529454444955 0.1445856441103252 0.0158657925697574 0.05482748886119645 1.7951712074194703
5000.0 4.0 0.0 2.0 1052.0 0.18714126866398048 0.5216379512247824 0.6486487965716653 0.0159732032817098 0.2508641756791838 1.845600156605892
160000.0 1.0 0.0 2.0 12.0 1.2718268382340243 0.5341640858444721 8.68844981656569 0.0072483749442024 1.4872457840313418 1.764549903980152
10000.0 1.0 0.0 2.0 1271.0 0.150118019789787 0.4967299316047119 0.6229495776241206 0.0133926181971783 0.20528171269936146 1.813333688035108
80000.0 4.0 0.0 2.0 100.0 0.43642853305607116 0.4983132698292097 2.481036658395953 0.007592556955032 0.500162765876952 1.5915179210204615
10000.0 2.0 0.0 2.0 1271.0 0.15864590485281152 0.5256633705374624 0.6192698215975742 0.013487335941193 0.20898988249413342 1.8469100953220707
320000.0 2.0 0.0 2.0 6.0 2.1720355262696094 0.6737009388445295 12.974292685321704 0.0049125295274176 2.250765341830336 1.9663841605003505
10000.0 3.0 0.0 2.0 1272.0 0.15628097537690527 0.5160039949414199 0.6186210207833919 0.013336505399914 0.20414049595122674 1.805463054590326
80000.0 2.0 0.0 2.0 103.0 0.45425560239900126 0.5212859169634675 2.594498001683906 0.0078564570341693 0.5332016623372877 1.7022286373764353
80000.0 3.0 0.0 2.0 97.0 0.4670263842924025 0.5214599131705279 2.5534738872873137 0.0075959752906148 0.5923253853686825 1.8493520737770583
20000.0 3.0 0.0 2.0 403.0 0.2640125585213537 0.5268491041861465 1.2146648928275043 0.011625105697536 0.3299041901329202 1.7897940770975282
20000.0 2.0 0.0 2.0 403.0 0.27441480633875165 0.5512350450886168 1.1710467154565818 0.0114959877664613 0.3372517663994703 1.8296561003037064
320000.0 1.0 0.0 2.0 6.0 1.6853183821473914 0.5201191581423114 11.515195915704016 0.0042598853400469 2.623087966455721 2.345207879911715
