N,N_s,dim,alpha_a
160000,15,2,3.15
160000,15,2,3.2
160000,15,2,3.3
160000,15,2,3.35
160000,15,2,3.4
160000,15,2,3.45
160000,15,2,3.55
160000,15,2,3.6
160000,15,2,3.65
160000,15,2,3.7
160000,15,2,3.8
160000,15,2,3.85
160000,15,2,3.9
160000,15,2,3.95
160000,15,2,4.05
160000,15,2,4.1
160000,15,3,3.15
160000,15,3,3.2
160000,15,3,3.3
160000,15,3,3.35
160000,15,3,3.4
160000,15,3,3.45
160000,15,3,3.55
160000,15,3,3.6
160000,15,3,3.65
160000,15,3,3.7
160000,15,3,3.8
160000,15,3,3.85
160000,15,3,3.9
160000,15,3,3.95
160000,15,3,4.05
160000,15,3,4.1
160000,15,4,3.15
160000,15,4,3.2
160000,15,4,3.3
160000,15,4,3.35
160000,15,4,3.4
160000,15,4,3.45
160000,15,4,3.55
160000,15,4,3.6
160000,15,4,3.65
160000,15,4,3.7
160000,15,4,3.8
160000,15,4,3.85
160000,15,4,3.9
160000,15,4,3.95
160000,15,4,4.05
160000,15,4,4.1
320000,7,1,3.15
320000,7,1,3.2
320000,7,1,3.3
320000,7,1,3.35
320000,7,1,3.4
320000,7,1,3.45
320000,7,1,3.55
320000,7,1,3.6
320000,7,1,3.65
320000,7,1,3.7
320000,7,1,3.8
320000,7,1,3.85
320000,7,1,3.9
320000,7,1,3.95
320000,7,1,4.05
320000,7,1,4.1
320000,7,2,3.15
320000,7,2,3.2
320000,7,2,3.3
320000,7,2,3.35
320000,7,2,3.4
320000,7,2,3.45
320000,7,2,3.55
320000,7,2,3.6
320000,7,2,3.65
320000,7,2,3.7
320000,7,2,3.8
320000,7,2,3.85
320000,7,2,3.9
320000,7,2,3.95
320000,7,2,4.05
320000,7,2,4.1
320000,7,3,3.15
320000,7,3,3.2
320000,7,3,3.3
320000,7,3,3.35
320000,7,3,3.4
320000,7,3,3.45
320000,7,3,3.55
320000,7,3,3.6
320000,7,3,3.65
320000,7,3,3.7
320000,7,3,3.8
320000,7,3,3.85
320000,7,3,3.9
320000,7,3,3.95
320000,7,3,4.05
320000,7,3,4.1
320000,7,4,3.15
320000,7,4,3.2
320000,7,4,3.3
320000,7,4,3.35
320000,7,4,3.4
320000,7,4,3.45
320000,7,4,3.55
320000,7,4,3.6
320000,7,4,3.65
320000,7,4,3.7
320000,7,4,3.8
320000,7,4,3.85
320000,7,4,3.9
320000,7,4,3.95
320000,7,4,4.05
320000,7,4,4.1
