N,N_s,dim,alpha_a
5000,10000,1,1.65
5000,10000,1,1.7
5000,10000,1,1.8
5000,10000,1,1.85
5000,10000,1,1.9
5000,10000,1,1.95
5000,10000,1,2.05
5000,10000,1,2.1
5000,10000,2,1.55
5000,10000,2,1.6
5000,10000,2,1.65
5000,10000,2,1.7
5000,10000,2,1.8
5000,10000,2,1.85
5000,10000,2,1.9
5000,10000,2,1.95
5000,10000,2,2.05
5000,10000,2,2.1
5000,10000,3,1.55
5000,10000,3,1.6
5000,10000,3,1.65
5000,10000,3,1.7
5000,10000,3,1.8
5000,10000,3,1.85
5000,10000,3,1.9
5000,10000,3,1.95
5000,10000,3,2.05
5000,10000,3,2.1
5000,10000,4,1.55
5000,10000,4,1.6
5000,10000,4,1.65
5000,10000,4,1.7
5000,10000,4,1.8
5000,10000,4,1.85
5000,10000,4,1.9
5000,10000,4,1.95
5000,10000,4,2.05
5000,10000,4,2.1
10000,1600,1,1.55
10000,1600,1,1.6
10000,1600,1,1.65
10000,1600,1,1.7
10000,1600,1,1.8
10000,1600,1,1.85
10000,1600,1,1.9
10000,1600,1,1.95
10000,1600,1,2.05
10000,1600,1,2.1
10000,1600,2,1.55
10000,1600,2,1.6
10000,1600,2,1.65
10000,1600,2,1.7
10000,1600,2,1.8
10000,1600,2,1.85
10000,1600,2,1.9
10000,1600,2,1.95
10000,1600,2,2.05
10000,1600,2,2.1
10000,1600,3,1.55
10000,1600,3,1.6
10000,1600,3,1.65
10000,1600,3,1.7
10000,1600,3,1.8
10000,1600,3,1.85
10000,1600,3,1.9
10000,1600,3,1.95
10000,1600,3,2.05
10000,1600,3,2.1
10000,1600,4,1.55
10000,1600,4,1.6
10000,1600,4,1.65
10000,1600,4,1.7
10000,1600,4,1.8
10000,1600,4,1.85
10000,1600,4,1.9
10000,1600,4,1.95
10000,1600,4,2.05
10000,1600,4,2.1
20000,350,1,1.55
20000,350,1,1.6
20000,350,1,1.65
20000,350,1,1.7
20000,350,1,1.8
20000,350,1,1.85
20000,350,1,1.9
20000,350,1,1.95
20000,350,1,2.05
20000,350,1,2.1
20000,350,2,1.55
20000,350,2,1.6
20000,350,2,1.65
20000,350,2,1.7
20000,350,2,1.8
20000,350,2,1.85
20000,350,2,1.9
20000,350,2,1.95
20000,350,2,2.05
20000,350,2,2.1
20000,350,3,1.55
20000,350,3,1.6
20000,350,3,1.65
20000,350,3,1.7
20000,350,3,1.8
20000,350,3,1.85
20000,350,3,1.9
20000,350,3,1.95
20000,350,3,2.05
20000,350,3,2.1
20000,350,4,1.55
20000,350,4,1.6
20000,350,4,1.65
20000,350,4,1.7
20000,350,4,1.8
20000,350,4,1.85
20000,350,4,1.9
20000,350,4,1.95
20000,350,4,2.05
20000,350,4,2.1
40000,250,1,1.55
40000,250,1,1.6
40000,250,1,1.65
40000,250,1,1.7
40000,250,1,1.8
40000,250,1,1.85
40000,250,1,1.9
40000,250,1,1.95
40000,250,1,2.05
40000,250,1,2.1
40000,250,2,1.55
40000,250,2,1.6
40000,250,2,1.65
40000,250,2,1.7
40000,250,2,1.8
40000,250,2,1.85
40000,250,2,1.9
40000,250,2,1.95
40000,250,2,2.05
40000,250,2,2.1
40000,250,3,1.55
40000,250,3,1.6
40000,250,3,1.65
40000,250,3,1.7
40000,250,3,1.8
40000,250,3,1.85
40000,250,3,1.9
40000,250,3,1.95
40000,250,3,2.05
40000,250,3,2.1
40000,250,4,1.55
40000,250,4,1.6
40000,250,4,1.65
40000,250,4,1.7
40000,250,4,1.8
40000,250,4,1.85
40000,250,4,1.9
40000,250,4,1.95
40000,250,4,2.05
40000,250,4,2.1
80000,100,1,1.55
80000,100,1,1.6
